,gen_summary,ref_summary,full_text
163,"В очередной части бондианы «Не время умирать» в роли нового агента 007 Лашана Линч. По словам актрисы, это шаг в правильном направлении, потому что она часть чего-то революционного.","Лашана Линч станет новым агентом 007. Темнокожая британская актриса рассказала в интервью о травле со стороны поклонников франшизы в социальных сетях и заявила, что ее участие в картине в роли сотрудника MI6 будет попыткой борьбы с расизмом и сексизмом.","Темнокожая актриса Лашана Линч в интервью Harper's Bazaar подтвердила свое участие в очередной части бондианы «Не время умирать» в роли нового агента 007, а также заявила о травле, с которой ей пришлось столкнуться после появления первых слухов о ее персонаже. В начале апреля этого года в сеть просочилась информация о том, что темнокожая актриса будет играть новое воплощение Джеймса Бонда, и Линч сразу же испытала на себе такой натиск негодования от поклонников франшизы, что ей пришлось уйти на время из социальных сетей, медитировать и проводить время только в кругу семьи. Линч успокаивала себя тем, что агрессивные комментарии приходят не лично ей — любая темнокожая актриса на ее месте столкнулась бы с такой же волной оскорблений. По словам актрисы, эта ситуация помогла осознать, что она часть чего-то нового, что она первая темнокожая женщина 007. «Я просто должна напомнить себе, что я часть чего-то очень, очень революционного», — сказала актриса в интервью. Линч уверена, что роль в «Не время умирать» — шаг в правильном направлении, потому что это способ противостоять стереотипам вокруг расы и пола, которые до сих пор сохраняются в обществе. «Я очень благодарна за то, что могу бросить вызов этим нарративам, — сказала британская актриса ямайского происхождения. — Мы уходим от токсичной маскулинности, и это происходит, в частности, потому, что женщины становятся более открытыми, требовательными и говорят о плохом сразу же, как только видят». По сюжету фильма, когда оригинальный Джеймс Бонд в воплощении Дэниела Крейга находится в изгнании, секретный агент 007 Наоми берет на себя его обязательства. По словам Линч, главный"
164,"В Госдуме предложили ввести налог на фастфуд и направлять собранные средства на профилактику и лечение ожирения. По мнению депутата комитета по охране здоровья Бориса Менделевича, Россия нуждается в стратегии борьбы с ожирением, поскольку около 55% россиян имеют избыточную массу тела.","Член комитета по охране здоровья Борис Менделевич заявил, что России нужно начать комплексную борьбу с ожирением, и предложил ввести налог на фастфуд. Эксперты уверены, что хоть такая практика и существует в других странах, в РФ она не сработает, и бороться с этой проблемой можно только просвещением.","В Госдуме предложили ввести налог на фастфуд и направлять собранные средства на профилактику и лечение ожирения. По мнению члена комитета по охране здоровья Бориса Менделевича, Россия нуждается в стратегии борьбы с ожирением, поскольку уже сейчас около 55% россиян имеют избыточную массу тела. «Я сейчас изучаю вопрос и рассматриваю возможность разработки подобного законопроекта. Новый документ, на мой взгляд, должен отражать три основных аспекта — ограничение калорийности продуктов, налог на фастфуд и снижение уровня бедности. Только системная работа в данном направлении позволит сохранить здоровье людей», — рассказал депутат РИА «Новости». По его мнению, результат может дать больше подробностей о калорийности продуктов и блюд на упаковках и в меню. Он также обратил внимание на прогноз ООН, согласно которому к концу года число больных ожирением будет существенно превосходить количество голодающих, которых в мире около 130 млн человек. В то же время, по мнению экспертов, сегодня в мире около 3 млрд человек из-за нехватки денег не могут позволить себе правильно питаться. Кроме того, депутат отметил, что сейчас в России создается спортивная инфраструктура, в том числе открываются бесплатные тренажеры во дворах и проводятся бесплатные спортивные занятия. Помимо законодательной работы, важно также информировать население об этом. Научный руководитель ФГБУН «ФИЦ питания и биотехнологии» и главный диетолог Минздрава Виктор Тутельян в беседе с «Газетой.Ru» заявил, что считает инициативу, выдвинутую Менделевичем, малоэффективной. Медик объяснил свое мнение там, что нет плохих продуктов, и важно именно количество и частота потребления, поэтому повышение цен здесь не сыграет никакой роли. «Борьба с ожирением возможна исключительно путем информирования"
165,"Начальник главного контрольного управления столицы Евгений Данчиков напомнил, что в мегаполисе растет количество инфицированных коронавирусом COVID-19, а неукоснительное выполнение всех санитарно-эпидемиологических предписаний поможет избежать введения более строгих ограничений.","Переведенные на удаленный режим работы жители Москвы должны неукоснительно выполнять санитарно-эпидемиологические предписания и не передвигаться по городу без надобности, заявил начальник главного контрольного управления столицы Евгений Данчиков. По его словам, если все будут придерживаться требований врачей, то властям не придется ужесточать ограничения на фоне ухудшения эпидемиологической ситуации.","Жителям Москвы, работающим в удаленном режиме, не следует ходить и ездить по городу без реальной надобности в связи с ухудшением эпидемиологической ситуации, сообщил начальник главного контрольного управления столицы Евгений Данчиков. Он напомнил, что изо дня в день в мегаполисе растет количество инфицированных коронавирусом COVID-19, а неукоснительное выполнение жителями Москвы всех санитарно-эпидемиологических предписаний поможет избежать введения более строгих ограничений, передает РИА «Новости». «Работники, переведенные на удаленку, должны работать дома и без лишней необходимости не передвигаться по городу как на общественном, так и на личном транспорте», — указал Данчиков. Он также напомнил, что за несоблюдение установленных норм юридическим лицам грозит штраф 300 тысяч рублей, а за повторное нарушение — приостановка работы. «За весь период к административной ответственности привлечено более 32 тысяч юридических лиц и предпринимателей. За повторное нарушение приостановлена деятельность 160 организаций», — привел цифры чиновник. Ситуацию с коронавирусом в столице нельзя назвать стабильной, сообщила 6 ноября заместитель мэра Москвы по вопросам социального развития Анастасия Ракова. «Сегодня мы впервые с середины мая преодолели отметку в 6 тыс. новых выявленных случаев коронавируса. Конечно, этот тренд снова вызывает у нас тревогу. И к сожалению, назвать ситуацию стабильной мы сейчас не можем», — сказала она. Чиновница отметила, что на этой неделе вновь фиксируется рост общей заболеваемости и госпитализаций, передает ТАСС. «Всего в Москве к настоящему моменту развернуто свыше 15 тыс. коек. В настоящий момент занято около 70% этого фонда. Ежедневно в больницы поступают 1,3-1,4 тысячи пациентов», — привела количественные показатели Ракова. Московская Городская клиническая больница No"
166,"Глава кабмина Михаил Мишустин заявил, что СНГ переживает нелучшие времена. По словам главы кабмина, ситуация сейчас ухудшается в связи с пандемией.","Экономическая активность на территории Союза независимых государств снизилась, товарооборот между странами за прошедший год упал, признал премьер России Михаил Мишустин. Основные проблемы взаимодействия на постсоветском пространстве связаны с политическими факторами. Тем не менее, странам стоит теснее взаимодействовать и восстанавливать нарушенные торговые цепочки, особенно в условиях кризиса, считают эксперты.","Премьер-министры Союза независимых государств в пятницу 6 ноября в режиме видеоконференции обсудили разработанную весной 2020 года стратегию экономического развития, которая рассчитана на 10 лет. В связи с пандемией ее пришлось актуализировать. Выступивший на заседании российский премьер-министр Михаил Мишустин был вынужден признать, что СНГ переживает не лучшие времена. «Существенно снизилась экономическая активность. В первом полугодии текущего года по сравнению с аналогичным периодом прошлого года товарооборот у нас уменьшился во взаимной торговле, также и с третьими странами», — сообщил глава кабмина, не назвав конкретных цифр. Причину сворачивания экономической активности он видит в пандемии, но не только. Ситуация осложняется революционными событиями в Белоруссии, Киргизии, вооруженным конфликтом в Нагорном Карабахе между Армений и Азербайджаном. Кстати, обе страны являются членами СНГ. Мировая закулиса тоже вносит вклад в дестабилизацию на просторах СНГ, уверен премьер. По словам Мишустина, некоторые члены международного сообщества пытаются использовать пандемию и кризис для навязывания своего видения экономических процессов, для того, «чтобы получить экономические, а нередко и политические преимущества». Мишустин оценил СНГ как международную организацию «с большим накопленным опытом», и этот опыт, несмотря на провалы в экономике, может быть востребован. Особенно в условиях коронавируса. «Российские тесты для диагностики уже переданы во все государства Содружества», — не забыл напомнить Мишустин. Напомним, СНГ — межгосударственное объединение бывших советских республик, работающее на добровольной основе. Было создано 8 декабря 1991 года главами России, Украины и Белоруссии по итогам подписания так называемого «Беловежского соглашения». Подписи под ним поставили"
167,Глава правительства Алексей Оверчук пострадал в ДТП на Кутузовском проспекте в районе Парка Победы на западе Москвы. В результате удара у служебной BMW 7-й серии Оверчука отлетело заднее колесо. Сам 55-летний чиновник был госпитализирован в Центральную клиническую больницу.,"Причиной ДТП на Кутузовском проспекте в Москве, в котором пострадал замглавы правительства Алексей Оверчук, стал выезд на встречную полосу автомобиля «Таврия». От удара у служебной BMW с мигалкой и номером серии АМР Оверчука оторвало заднее колесо. Сам 55-летний чиновник госпитализирован в Центральную клиническую больницу.","Заместитель председателя правительства РФ Алексей Оверчук пострадал в ДТП вечером 6 ноября на Кутузовском проспекте в районе Парка Победы на западе Москвы. Авария произошла около 20:30 после того, как водитель «Таврии», не справившись с управлением, выехал на разделительную полосу и столкнулся с Nissan и служебной BMW 7-й серии Оверчука, сообщает источник «Интерфакса». Вследствие удара у развернувшейся перпендикулярно направлению движения машины вице-премьера отлетело заднее колесо. На опубликованных в сети фото видно, как BMW с мигалкой и номером серии АМР стоит посреди Кутузовского проспекта без колеса и с помятой левой стороной. Сам 55-летний чиновник был госпитализирован в Центральную клиническую больницу. «Алексей Логвинович действительно пострадал в результате автоаварии, в настоящее время он находится в ЦКБ», — сказал пресс-секретарь зампреда правительства Андрей Матвеев, не указав, какие травмы получил Оверчук. Всего в аварии пострадали три человека, причем один из них был заблокирован в своем авто, сообщили в правоохранительных органах Москвы, не уточнив, кто именно. В кабмине Оверчук занимается вопросами Евразийской интеграции, а также сотрудничества с международными организациями — СНГ, БРИКС, G20 и другими. В августе нынешнего года автомобиль заместителя министра обороны РФ Юнус-Бека Евкурова попал в ДТП на 2-й Дубровской улице в центре Москвы. Видео ДТП разлетелось по СМИ — на нем видно, как служебный автомобиль, также с номером АМР и мигалкой, который числится за чиновником, проезжает на красный свет, после чего сталкивается с одной из движущихся машин — и та врезается в девушку-пешехода с коляской. Это же подтвердили очевидцы происшествия. «Гор"
168,"ВОЗ заявила, что не могут пока спрогнозировать дальнейшее развитие эпидемиологической ситуации с коронавирусом в России. По словам представитель ВОЗ в России Мелита Вуйнович, на пандемию можно влиять.","В ВОЗ не могут дать точный прогноз по сценарию развития ситуации с коронавирусом в России. Тем не менее сейчас специалисты организации констатируют: власти страны меры принимают, но заболеваемость растет. В международной организации подчеркнули, что сейчас важно создать вакцину и лекарства против этой инфекции, а также проводить как можно больше ПЦР-тестов.","Во Всемирной организации здравоохранения заявили, что не могут пока спрогнозировать дальнейшее развитие эпидемиологической ситуации с коронавирусом в России. Но на пандемию можно повлиять, уверена представитель ВОЗ в России Мелита Вуйнович. «Тяжело сказать. Конечно, надо спросить у национальных эпидемиологов, которые очень хорошо могут моделировать ситуацию, но в любом моменте на пандемию возможно влиять», — сказала она в эфире телеканала «Россия 24». Вуйнович отметила, что зачастую вирус передается между членами семьи. При заразившийся вне дома может передать инфекцию большому количеству людей. Представитель международной организации отметила, что российские власти вводят комплексные меры по борьбе с инфекцией. «Но еще растет [число заболеваний], как и в других странах. Очень надеемся, конечно, на вакцину и на лекарства», — высказалась Вуйнович, указав, в частности, на увеличение объемов тестирования. «Возможно мы все чуть-чуть расслабились и не ожидали, что вирус будет так быстро двигаться. Но он двигается очень быстро и сейчас важен быстрый рост тестирования, чтобы мы знали, где вирус находится, и обнаружение контактов », — добавила она. Власти, в свою очередь, отмечают необходимость дополнительных мер в связи с прогнозируемым «трендом на повышение» роста заболеваемости. «Вы видите, что дополнительные меры принимаются, это не меры, связанные с локдауном, но меры регулирующего характера, и каждый регион, учитывая свою специфику, принимает соответствующие решения. Но тенденция, как мы уже и говорили неоднократно, тревожная, пандемия развивается», — сказал ранее пресс-секретарь российского президента Дмитрий Песков. В то же время он отметил, что пока рано говорить об эффективности антикоронавирусных мер, введенных без локдауна, — нужно еще их проанализировать. «Тут уже"
169,Warner Bros. отстранила звезду «Фантастических тварей» Джонни Деппа от съемок в третьей части франшизы. Вместо Деппа подберут другую кандидатуру.,"Голливудский актер Джонни Депп не будет сниматься в третьей части франшизы «Фантастические твари» после того, как суд признал доказанными 12 из 14 случаев его нападений на экс-супругу Эмбер Херд. Вместо него роль злодея Геллерта Грин-де-Вальда исполнит другой актер.","Студия Warner Bros. отстранила звезду «Фантастических тварей» Джонни Деппа от съемок в третьей части франшизы. Об этом 57-летний актер сообщил на своей странице в Instagram. Вместо Деппа на роль одного из злодеев серии Геллерта Грин-де-Вальда подберут другую кандидатуру. «В свете последних событий я бы хотел сделать следующее короткое заявление. Во-первых, я хочу поблагодарить всех, кто подарил мне свою поддержку и преданность. Я был польщен и тронут большим количеством ваших сердечных и обеспокоенных сообщений, особенно в последние несколько дней. Во-вторых, я хочу, чтобы вы знали, что Warner Bros. попросила меня отказаться от роли Грин-де-Вальда в «Фантастических тварях», и я уважаю эту просьбу и соглашаюсь с ней», — написал Депп. Кроме того, Warner Bros. перенесла премьеру третьей части «Фантастических тварей» на год. Источник Variety уточнил, что вместо 12 ноября 2021 года картина выйдет в прокат летом 2022-го, но конкретная дата релиза пока неизвестна. Согласно инсайдерам портала We Got This Covered, на днях студия Disney тоже расторгла контракт с Деппом. Издание отмечает, что до решения суда с артистом обсуждалась возможность появления в небольшой роли в предстоящей перезагрузке «Пиратов Карибского моря». Ранее Высокий суд Лондона отклонил иск Деппа на £2 млн против издателя News Group Newspapers Руперта Мердока и журналиста Дэна Вуттона по факту материала The Sun, в котором его обвиняли в домашнем насилии над бывшей женой Эмбер Херд. В статье, опубликованной два года назад, актера упомянули как раз в контексте его роли в фильме по сценарию Джоан Роулинг «Фантастические твари и"
170,"Глава ЦК КПСС Александр Шмонов попытался убить Михаила Горбачева. По словам самого известного в стране представителя власти, заговорщик назвал это покушение главой государства Александром Шмоновом.","7 ноября 1990 года слесарь Александр Шмонов стрелял в Михаила Горбачева на Красной площади. Покушение провалилось благодаря бдительности милиционера Андрея Мыльникова. Злоумышленника отправили на принудительное лечение, а президент СССР не поверил в серьезность ситуации, посчитав ее инсценировкой спецслужб. Впоследствии Горбачев пережил еще одно покушение, а Шмонов написал брошюру о том, как стрелял в «главаря тоталитарного государства».","7 ноября 1990 года, во время праздничной демонстрации на Красной площади по случаю 73-летней годовщины Октябрьской революции, произошло покушение на жизнь Михаила Горбачева. Президента СССР и генерального секретаря ЦК КПСС попытался убить слесарь Александр Шмонов. Он мстил самому известному в стране представителю власти за не сложившуюся жизнь на окраине Колпино в Ленинградской области и личную обиду: Шмонова обманули при покупке магнитофона, подсунув муляж. Виновным в этой ситуации он счел, в том числе, Горбачева. В 1978 году будущий террорист наблюдался в ленинградской психиатрической больнице с диагнозом шизоаффективный психоз, а в 1981-м задумался об убийстве Леонида Брежнева. «Дорогой и любимый» генсек, впрочем, вскоре отошел в мир иной по естественным причинам. Поэтому Шмонов до поры отложил план покушения. Следующие вожди умирали один за другим без посторонней помощи. Иное дело Горбачев, молодой и энергичный руководитель новой формации. Несмотря на провозглашенный курс на демократизацию политического режима, именно его Шмонов посчитал ответственным за существование в СССР тоталитаризма, в том числе и в предшествующий период. Позже на допросах злоумышленник заявил о виновности Горбачева в гибели мирных граждан в Тбилиси в 1989 году и в Баку в январе 1990-го. По одной из версий, Шмонов задумал убить Горбачева еще в 1987 году. Он набивал на пишущей машинке, тайно расклеивал в электричках и подкладывал в почтовые ящики листовки, в которых призывал расправляться с руководителями СССР. Чтобы избавиться от потенциального вещдока, заговорщик стер литеры напильником, закопал машинку в секретном месте и купил себе новую. Своим покушением он крепко подставил собственного отца, бывшего начальника Колпинского"
171,"В Екатеринбурге следователи обнаружили тела четырех человек с огнестрельными ранениями — как оказалось, гостей стрелял организатор домашней вечеринки, который позже покончил с собой. По предварительным данным, хозяин квартиры взялся за ружье и стрелял в находившихся у него в гостях граждан.","Четыре трупа с огнестрельными ранениями и двух несовершеннолетних девушек обнаружили сегодня утром следователи Екатеринбурга в одной из квартир. По предварительным данным, присутствовавших расстрелял хозяин квартиры, который позже покончил с собой. Мотивы его преступления устанавливаются. Как выяснили следователи, ранее он был судим.","В Екатеринбурге следователи обнаружили тела четверых человек с огнестрельными ранениями — как оказалось, гостей расстрелял организатор домашней вечеринки, который позже покончил с собой. О происшествии сообщает региональный Следственный комитет. По предварительным данным, в квартире на Социалистической улице собралась разновозрастная компания: девушки 16, 17 и 18 лет, а также мужчины от 32 до 36 лет. По данным местных СМИ, с 34-летним Дмитрием девушки познакомились накануне в интернете и встретились в торговом центре. Позже к ним присоединились двое его друзей, после чего компания решила устроить вечеринку в квартире Дмитрия. Однако мирно провести мероприятие им не удалось – по неустановленным пока причинам хозяин квартиры взялся за ружье и расстрелял большую часть присутствовавших. «На месте происшествия обнаружены признаки распития спиртного. По рассматриваемой версии, один из участников застолья (хозяин квартиры), воспользовавшись имеющимся у него карабином, произвел выстрелы в находившихся у него в гостях граждан, после чего свел счеты с жизнью здесь же в квартире. Точные обстоятельства ЧП и мотивы совершенного преступления устанавливаются в ходе следственных мероприятий», — сообщили в пресс-службе СУ СК. Как сообщает Telegram-канал «Baza», одна из девушек успела позвонить из квартиры, где происходила бойня, в полицию и сообщить о том, что ее держит в заложниках некий мужчина. Прибывшие на место событий полицейские вскрыли дверь и обнаружили 17-летнюю раненую девушку и четыре трупа рядом с ней. Возле одного из тел лежал карабин «Сайга» — предположительно, из него и стрелял убийца. Раненая девушка была госпитализирована в местную больницу, где ее сразу же прооперировали. Сейчас она находится в реанимации в тяжелом состоянии. Из все"
172,"Украинские дипломаты направили российским коллегам ноту протеста из-за того, что 4 ноября президент России Владимир Путин внес изменения в свой указ о признании документов самопровозглашенных республик Донбасса. По словам украинских дипломатов, это «очередной элемент агрессии».","Киев выступает против указа российского президента Владимира Путина, который ранее подписал документ о признании любых документов жителей самопровозглашенных республик Донбасса. Украина называет эти нововведения «элемент агрессии», и предупреждает Москву, что будет поднимать этот вопрос на международной арене.","Украинские дипломаты направили российским коллегам ноту протеста из-за того, что 4 ноября президент России Владимир Путин внес изменения в свой указ о признании документов самопровозглашенных республик Донбасса. Теперь в России признаются документы и регистрационные знаки транспортных средств, которые были выданы в ДНР и ЛНР независимо от гражданства их владельца. «В связи с публикацией этого указа МИД выражает решительный протест российской стороне с направлением соответствующей ноты, призывает наших международных партнеров, прежде всего по линии нормандского формата, осудить действия России и принять необходимые меры давления, в том числе санкционного», — говорится в заявлении внешнеполитического ведомства Украины. Дипломаты предупредили, что Киев поднимет этот вопрос «на международных платформах, в том числе в рамках ООН, ОБСЕ и СЕ». По мнению украинских представителей, действия российских властей — это «очередной элемент агрессии». Киев потребовал «безотлагательно отменить все агрессивные решения в отношении Украины и устранить их негативные последствия». С февраля 2017 года Россия стала признавать документы, выданные жителям «отдельных районов Донецкой и Луганской областей Украины». Но тогда нужно было предоставлять еще документы, подтверждающие украинское гражданство или статус человека, у которого вообще нет гражданства. Теперь этой необходимости нет. Кроме того, Владимир Путин в конце апреля прошлого года подписал указ, который позволяет жителям ЛНР и ДНР получить гражданство России в упрощенном порядке. Спустя год для жителей самопровозглашенных республик Москва отменила госпошлину за получение паспорта. Ранее глава ДНР Денис Пушилин сообщил, что более 170 тыс. жителей республики к ноябрю этого года получили гражданство России в упрощенном порядке. На Украине считают, что паспорта РФ для граждан ДНР и ЛНР — «филькина грамота». Такое мнение"
173,"Глава МВД Владимир Колокольцев заявил, что обустройство дорог в большей степени влияет на безопасность дорожного движения. По словам главы ведомства Владимира Колокольцева, этот порог не меняется.","МВД решительно выступает против инициативы по снижению ненаказуемого порога превышения скорости. Глава ведомства обратил внимание, что 10 км/ч не так сильно влияют на безопасность дорожного движения, как обустройство дорог. Кроме того, он заверил, что и штрафы в новой редакции КоАП останутся теми же.","Российское Министерство внутренних дел выступает категорически против снижения нештрафуемого порога превышении скорости. «Мы категорические противники такого нововведения — сокращения штрафуемого порога с 20 до 10 км/ч. Могу успокоить, что позиция МВД учтена в новой редакции КоАП и даже величина штрафа не меняется», — заверил глава ведомства Владимир Колокольцев в интервью программе «Вести в субботу» с Сергеем Брилевым на телеканале «Россия-1». Колокольцев уверен, что обустройство магистралей в большей степени влияет на безопасность дорожного движения. «Если дорога обеспечена разделительными барьерами, освещена, ровное покрытие — это в большей степени сказывается на безопасности дорожного движения, чем вот это манипулирование — 10 км больше, 10 км меньше», — добавил министр. О том, что МВД против таких изменений, Колокольцев говорил и раньше. К примеру, 1 марта этого года он напомнил, что ведомство не согласится на это. Более того, он заявил, что на некоторых участках дорог следует повышать скоростной режим. «И мало того, на отдельных участках трассы надо все-таки выходить на повышение скоростного режима, потому что уровень безопасности современного автотранспорта свидетельствует о том, что этот порог нужно поднимать», — считает он. В настоящее время россияне, которые превышают допустимую скорость до 20 км/ч не наказываются штрафом. Предложения о снижении этого порога поступают в Министерство внутренних дел РФ регулярно. Тем не менее есть представители автомобильного сообщества, которые считают снижение нештрафуемого порога обязательной мерой. В частности, такого мнения придерживается глава московского Центра организации дорожного движения Михаил Кизлык. В феврале этого года он отметил, что такое нововведение следует внедрить в городах, где нынешние нормы позволяют разгоняться до 80 км/ч. По"
